state_index,total,less_than_high_school_graduate_total,high_school_graduate_includes_equivalency_total,some_college_or_associates_degree_total,bachelors_degree_total,graduate_or_professional_degree_total,male,less_than_high_school_graduate_male,high_school_graduate_includes_equivalency_male,some_college_or_associates_degree_male,bachelors_degree_male,graduate_or_professional_degree_male,female,less_than_high_school_graduate_female,high_school_graduate_includes_equivalency_female,some_college_or_associates_degree_female,bachelors_degree_female,graduate_or_professional_degree_female
alabama_estimate,42463,28515,34127,39501,56640,70732,51867,32089,41600,51002,71465,92889,35268,22016,26337,31607,46955,60575
alabama_margin_of_error,488,1683,1153,944,1667,1893,578,1079,795,1153,2183,5549,544,1548,850,507,1427,1235
alaska_estimate,53582,41145,40651,51499,67321,89202,61327,44078,44861,59395,79622,97504,47601,32000,32330,44106,56933,85703
alaska_margin_of_error,1470,3279,2478,2127,5978,4757,1961,6545,3200,2949,5147,8392,1771,5293,2775,3655,7067,2861
arizona_estimate,48738,31966,38547,45115,63471,76587,53647,36974,42457,51791,75517,95527,42429,25764,32739,39821,53443,65877
arizona_margin_of_error,558,538,909,797,839,1626,651,1325,871,889,1812,3287,513,1544,1259,928,1205,1760
arkansas_estimate,41385,30770,34517,38814,53117,68769,48162,35059,40487,47765,66177,80253,35280,23546,27660,32257,46102,62285
arkansas_margin_of_error,401,1084,1008,996,1497,2856,1431,2198,784,3303,3698,6989,631,2232,1139,1001,1918,2085
california_estimate,52520,30843,38507,47535,75688,103600,59577,35074,42710,55389,86663,124911,46176,23950,31970,40044,64979,89917
california_margin_of_error,233,186,460,425,567,734,555,473,490,817,669,1378,339,561,283,342,811,1183
colorado_estimate,55648,34357,42245,46542,69493,84468,64224,40470,49663,54159,84234,103054,47480,26991,34065,39167,56710,71220
colorado_margin_of_error,720,1706,868,821,1237,1931,737,2184,1398,1254,2137,2568,856,2567,2240,1132,1521,1764
connecticut_estimate,58734,31767,41610,49709,75597,92566,66871,37071,48425,58277,89721,114341,51014,25301,32078,40582,63248,79204
connecticut_margin_of_error,1178,1063,793,1754,1766,1859,1830,2946,1899,2627,3467,6796,796,2705,747,1086,1520,3090
delaware_estimate,50835,34578,39820,44530,64139,79150,56661,36361,42981,52602,77214,95071,44788,30571,33331,41335,51472,69691
delaware_margin_of_error,878,2306,2238,1758,3027,3804,2251,2435,3760,2753,5283,6549,1369,3806,2214,1119,2201,3640
district_of_columbia_estimate,83510,26970,38599,48566,83903,113205,91657,42019,38283,51323,91796,128604,78678,23332,39098,46535,79072,102191
district_of_columbia_margin_of_error,2750,6116,4544,3947,2914,6360,2957,9566,4907,3793,6419,4570,2673,1904,11131,4047,3129,3215
florida_estimate,44036,28063,34769,41565,56243,74215,50390,31747,40223,49272,68211,92458,38794,23116,28801,35768,49658,63436
florida_margin_of_error,330,876,469,288,818,1259,317,405,326,794,1806,2598,490,922,679,485,628,1064
georgia_estimate,47625,30325,35880,42139,63803,78550,53727,35322,40780,51535,77724,97736,41035,23559,30448,35608,53933,67566
georgia_margin_of_error,512,631,536,452,738,1341,487,1234,664,670,1807,4102,371,1065,438,657,873,1268
hawaii_estimate,50993,29829,41441,46737,61880,79653,58631,32657,46853,55330,73106,91973,43648,24937,35222,37786,52054,72303
hawaii_margin_of_error,644,4287,1095,1326,1700,2735,2361,3895,2579,2763,4115,5673,1290,2860,2283,1801,2860,3176
idaho_estimate,43844,35192,37406,40546,54796,72869,52590,40811,44854,48865,70954,91379,35901,25526,28255,31820,44182,61281
idaho_margin_of_error,772,2579,1078,696,2048,3340,1068,1984,1989,2181,4542,6910,897,2786,2480,834,2116,2236
illinois_estimate,51922,31826,38766,44169,68489,84140,60342,36859,45259,54038,81797,101807,43895,24634,30700,36945,58123,74097
illinois_margin_of_error,298,508,778,589,1145,1200,469,981,832,869,1026,1225,574,1130,546,494,1356,1067
indiana_estimate,46623,32019,38553,44403,58609,73559,55045,36684,45412,56010,72252,87503,39409,25186,30327,36283,49725,64824
indiana_margin_of_error,410,746,630,656,1231,2217,602,1547,1068,1022,1474,3790,544,2015,513,597,1090,2261
iowa_estimate,48569,32968,39439,45837,58561,73926,54659,39736,46204,55043,70800,85132,41081,27090,28860,37609,50826,67618
iowa_margin_of_error,620,2066,863,899,1365,1640,553,3192,770,1081,2172,5330,536,2003,1606,1138,1068,1807
kansas_estimate,47295,32838,36659,42026,58583,70216,54766,39766,43736,52063,71346,85863,40087,25570,28895,34874,49010,61952
kansas_margin_of_error,608,1788,834,612,1296,2564,880,2713,1130,1099,2248,3073,583,2049,1712,1221,1669,1591
kentucky_estimate,43032,27314,35301,40667,55682,67351,51094,31553,41636,49791,68927,82917,37550,22480,27044,34083,47218,59426
kentucky_margin_of_error,581,1182,680,587,1551,2115,593,1522,646,1558,2881,3128,626,1938,880,1070,2028,1694
louisiana_estimate,43207,25977,33568,40916,55685,65857,52246,31573,44990,52442,69378,82457,35758,19570,25942,32208,49249,58210
louisiana_margin_of_error,748,890,1577,730,1818,2150,588,1190,1372,1209,2406,3355,695,2349,569,987,1882,2444
maine_estimate,45966,31011,36375,43898,53866,69390,52149,32142,41301,54061,63107,81854,40876,28273,31194,36099,48718,62836
maine_margin_of_error,802,1816,1080,1709,1760,3263,1051,4130,1129,1839,2099,5251,818,3093,1045,1635,2529,2235
maryland_estimate,61166,33805,40888,50548,76711,99484,68040,38901,47057,61134,90008,116827,53748,26691,33132,42177,66173,86330
maryland_margin_of_error,532,1890,673,879,1358,1941,1538,2215,1383,1543,2681,2669,943,1976,1330,860,2036,2151
massachusetts_estimate,62009,34472,42196,49021,77137,95136,71293,39903,50768,57774,90795,116421,53409,28465,33506,41777,64567,83160
massachusetts_margin_of_error,462,2061,531,1132,1049,1232,944,1882,797,2007,1208,3308,673,1973,1255,831,1500,1435
michigan_estimate,47259,30404,35865,41762,63077,78984,54664,36227,41633,51679,78167,97014,39439,22296,28232,34078,52364,69239
michigan_margin_of_error,406,670,453,337,740,1580,487,1855,449,526,1845,2127,492,1422,1039,1013,857,1589
minnesota_estimate,54047,33274,39997,49014,68504,82324,61950,40519,46641,58978,80711,92432,46770,26364,31505,40620,59325,76253
minnesota_margin_of_error,337,1795,757,708,1126,1259,422,1854,966,936,1329,2518,616,1185,548,503,1159,1213
mississippi_estimate,40342,26775,32789,37485,50731,57266,46767,31381,40281,47196,64800,70582,34345,19639,25964,31293,44097,52805
mississippi_margin_of_error,446,1916,1316,981,1381,2090,1112,2029,1575,1841,5062,4212,955,1824,1067,805,1628,1691
missouri_estimate,45456,28414,35612,41874,57693,70894,52525,33801,41778,51198,67624,88118,39323,21745,28651,35537,49601,62286
missouri_margin_of_error,476,1565,519,441,1123,1418,566,1967,714,795,2040,3084,629,1125,1155,656,1286,1156
montana_estimate,43414,30133,35674,39948,50894,68235,51103,35119,45143,48499,61505,79710,36557,19806,26354,32932,44867,62648
montana_margin_of_error,1266,4113,923,1161,1378,2421,1103,5698,2740,3225,2758,10188,763,9578,1302,1357,2877,3142
nebraska_estimate,49244,33308,38758,44111,58817,74208,55557,37436,44274,55181,68552,86911,41272,24084,31336,35021,50596,66270
nebraska_margin_of_error,870,2022,1570,1179,1729,2651,1016,3564,1552,1390,3154,5993,605,2408,1048,1310,1030,2007
nevada_estimate,44247,34591,37581,43743,59999,75253,49663,37212,41450,50926,68484,87252,40424,30276,32870,38570,51854,69550
nevada_margin_of_error,729,1524,1246,1130,2381,2169,1035,1287,953,1377,3545,6825,593,1017,1863,1873,1791,2791
new_hampshire_estimate,55756,38365,42335,48955,67982,84072,66654,41137,49876,61006,81559,103215,47833,34153,35764,39050,55778,74417
new_hampshire_margin_of_error,1483,2874,1476,2127,2341,2366,1635,2647,2878,2883,3283,3420,1434,3292,1532,2644,2881,3379
new_jersey_estimate,60145,31962,40193,50489,76725,98247,68827,36864,48595,58845,91151,121917,51034,25736,31510,41791,64680,82728
new_jersey_margin_of_error,574,603,538,568,1057,1908,1002,1516,1540,1456,1704,2693,499,1127,641,635,1119,1042
new_mexico_estimate,41866,26396,31961,39701,55322,73105,46491,30738,36377,45698,64587,90005,37774,20330,27001,33991,50484,64484
new_mexico_margin_of_error,573,1303,744,1458,1829,2622,1394,937,1461,2086,3272,6312,1037,1347,1732,1747,2096,2352
new_york_estimate,53631,29259,37377,46298,71567,87776,60517,33425,43834,53992,81761,102467,48217,22272,30828,39669,62336,80242
new_york_margin_of_error,311,783,416,626,807,1143,460,1248,794,663,905,1226,528,460,389,777,731,940
north_carolina_estimate,46075,30324,35269,41354,59713,76062,52127,33232,40812,48809,72567,98379,40611,22752,29399,35405,51352,64377
north_carolina_margin_of_error,437,538,606,353,990,1365,459,1545,536,1107,1862,4135,342,1630,1139,421,717,1203
north_dakota_estimate,50304,41762,39250,47258,56830,71211,57981,47293,46458,58698,69941,83071,41585,25384,31425,38419,50888,62432
north_dakota_margin_of_error,904,2849,1816,1504,2007,4930,2122,4355,2294,3201,4451,7455,903,2869,1066,2607,1832,4357
ohio_estimate,47521,30152,36919,42690,62605,77691,54436,34751,43823,52191,75136,94557,40334,21565,29197,35817,53252,69993
ohio_margin_of_error,357,910,427,433,681,1125,382,1787,727,518,1290,1937,243,1080,718,484,828,1023
oklahoma_estimate,42362,30354,35332,40237,53732,70191,50265,35928,41067,49087,66236,84717,36569,21593,27647,32874,46553,60369
oklahoma_margin_of_error,311,983,406,525,1026,1657,506,1021,648,1316,2327,3359,443,1194,957,876,1153,1473
oregon_estimate,48807,30994,37284,42769,62676,81633,54766,36201,42047,51886,74464,94249,41808,25018,30963,36552,53656,73646
oregon_margin_of_error,906,1258,835,887,1256,1759,911,1641,728,1204,2301,3774,585,1301,979,868,1616,1890
pennsylvania_estimate,50871,32177,38087,44804,64722,80977,57729,39267,45060,53436,77353,98386,42397,23562,30480,37537,54430,71618
pennsylvania_margin_of_error,266,897,545,671,790,1013,740,1690,610,803,1635,3338,326,2084,374,641,804,970
rhode_island_estimate,54012,35287,41160,48802,67148,85586,61128,42946,48077,55854,80898,100702,47240,22467,32801,41502,60614,76489
rhode_island_margin_of_error,1173,2762,1296,2513,2815,4353,1876,7612,3418,2583,4431,7878,2122,3518,2400,2362,2721,5175
south_carolina_estimate,43331,27141,34785,40386,57407,67170,51631,31919,41372,50113,70820,93583,37006,19045,27278,33394,47076,55888
south_carolina_margin_of_error,592,1330,966,665,1493,1980,618,967,906,1049,2290,4170,556,2025,714,1149,1437,1964
south_dakota_estimate,45902,30523,38669,45237,52325,67981,51980,32728,42193,52366,62017,78289,40443,22462,31409,36809,47123,62107
south_dakota_margin_of_error,667,2259,1771,1326,1924,3888,850,4816,1174,1456,1755,7666,637,7834,1540,1045,1860,3281
tennessee_estimate,45072,30183,36093,41663,57539,72837,52035,32391,41768,50507,72069,90027,39185,24280,29504,35423,47882,62159
tennessee_margin_of_error,401,1146,577,479,1113,1803,478,1321,621,900,2026,4534,688,2206,951,697,1055,1314
texas_estimate,48430,29317,36217,43687,64905,82824,55057,33918,43439,53009,80807,104215,40346,21027,27724,36414,56594,69050
texas_margin_of_error,370,601,369,586,584,1260,447,929,696,690,892,1382,244,335,573,525,584,1161
utah_estimate,51104,37472,40700,43406,60973,90548,63245,44160,48961,56715,78700,111257,38217,28237,31762,34715,46836,65531
utah_margin_of_error,514,1649,642,1496,1200,2583,870,2998,2480,1928,2646,4668,892,2073,785,1817,1811,2713
vermont_estimate,50561,34612,41388,44003,54163,68409,53541,38084,46350,53267,55105,81508,46082,29123,33734,38509,53601,62549
vermont_margin_of_error,972,3841,1466,3213,2295,2487,1340,3515,1883,3179,5011,5281,1512,3797,2245,2051,2353,2607
virginia_estimate,55607,30436,39730,45135,73893,96914,64525,36498,46450,54515,88211,120363,47280,21407,30867,38271,60677,79392
virginia_margin_of_error,529,890,835,748,1062,1436,711,1255,1338,1048,2101,2849,623,926,480,1185,1243,2056
washington_estimate,59430,36000,42288,51740,76376,100613,68109,40821,50374,61596,93135,123731,49352,27512,35322,42451,61852,83186
washington_margin_of_error,775,984,749,658,1126,1148,1072,1085,738,853,2212,3155,1021,1856,949,924,975,1782
west_virginia_estimate,42738,26692,35052,40791,52887,63974,50775,31728,42328,51797,61978,81142,36638,22346,26556,33565,46408,56531
west_virginia_margin_of_error,814,2487,1392,1001,1886,3717,1074,3365,1936,2084,3623,6253,923,2415,1169,1669,2131,3996
wisconsin_estimate,50039,35193,40104,45726,61428,75811,56462,39939,46832,54296,74145,93791,41920,27810,31059,37815,52799,66703
wisconsin_margin_of_error,335,1456,484,600,837,1232,617,1783,674,758,1645,2873,294,2199,429,771,869,1770
wyoming_estimate,48197,28406,37396,44020,54129,68506,56879,35274,47300,55153,68407,80346,38561,25910,27551,36010,47106,61778
wyoming_margin_of_error,2185,4964,1855,3108,3784,1926,2488,12078,6041,3391,6090,10578,2080,3619,3030,1999,3590,3338
puerto_rico_estimate,21254,12646,16083,19642,27445,40103,21394,13178,17022,22270,30686,50423,21085,10864,13232,17092,26274,35885
puerto_rico_margin_of_error,372,971,319,457,925,1592,442,1192,409,832,1752,4488,502,2075,836,523,752,1636
