"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B20004_001E","Estimate!!Total:"
"B20004_001EA","Annotation of Estimate!!Total:"
"B20004_001M","Margin of Error!!Total:"
"B20004_001MA","Annotation of Margin of Error!!Total:"
"B20004_002E","Estimate!!Total:!!Less than high school graduate"
"B20004_002EA","Annotation of Estimate!!Total:!!Less than high school graduate"
"B20004_002M","Margin of Error!!Total:!!Less than high school graduate"
"B20004_002MA","Annotation of Margin of Error!!Total:!!Less than high school graduate"
"B20004_003E","Estimate!!Total:!!High school graduate (includes equivalency)"
"B20004_003EA","Annotation of Estimate!!Total:!!High school graduate (includes equivalency)"
"B20004_003M","Margin of Error!!Total:!!High school graduate (includes equivalency)"
"B20004_003MA","Annotation of Margin of Error!!Total:!!High school graduate (includes equivalency)"
"B20004_004E","Estimate!!Total:!!Some college or associate's degree"
"B20004_004M","Margin of Error!!Total:!!Some college or associate's degree"
"B20004_004MA","Annotation of Margin of Error!!Total:!!Some college or associate's degree"
"B20004_004EA","Annotation of Estimate!!Total:!!Some college or associate's degree"
"B20004_005E","Estimate!!Total:!!Bachelor's degree"
"B20004_005EA","Annotation of Estimate!!Total:!!Bachelor's degree"
"B20004_005M","Margin of Error!!Total:!!Bachelor's degree"
"B20004_005MA","Annotation of Margin of Error!!Total:!!Bachelor's degree"
"B20004_006E","Estimate!!Total:!!Graduate or professional degree"
"B20004_006EA","Annotation of Estimate!!Total:!!Graduate or professional degree"
"B20004_006M","Margin of Error!!Total:!!Graduate or professional degree"
"B20004_006MA","Annotation of Margin of Error!!Total:!!Graduate or professional degree"
"B20004_007E","Estimate!!Total:!!Male:"
"B20004_007EA","Annotation of Estimate!!Total:!!Male:"
"B20004_007M","Margin of Error!!Total:!!Male:"
"B20004_007MA","Annotation of Margin of Error!!Total:!!Male:"
"B20004_008E","Estimate!!Total:!!Male:!!Less than high school graduate"
"B20004_008EA","Annotation of Estimate!!Total:!!Male:!!Less than high school graduate"
"B20004_008M","Margin of Error!!Total:!!Male:!!Less than high school graduate"
"B20004_008MA","Annotation of Margin of Error!!Total:!!Male:!!Less than high school graduate"
"B20004_009E","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)"
"B20004_009EA","Annotation of Estimate!!Total:!!Male:!!High school graduate (includes equivalency)"
"B20004_009M","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)"
"B20004_009MA","Annotation of Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)"
"B20004_010E","Estimate!!Total:!!Male:!!Some college or associate's degree"
"B20004_010EA","Annotation of Estimate!!Total:!!Male:!!Some college or associate's degree"
"B20004_010M","Margin of Error!!Total:!!Male:!!Some college or associate's degree"
"B20004_010MA","Annotation of Margin of Error!!Total:!!Male:!!Some college or associate's degree"
"B20004_011E","Estimate!!Total:!!Male:!!Bachelor's degree"
"B20004_011EA","Annotation of Estimate!!Total:!!Male:!!Bachelor's degree"
"B20004_011M","Margin of Error!!Total:!!Male:!!Bachelor's degree"
"B20004_011MA","Annotation of Margin of Error!!Total:!!Male:!!Bachelor's degree"
"B20004_012E","Estimate!!Total:!!Male:!!Graduate or professional degree"
"B20004_012EA","Annotation of Estimate!!Total:!!Male:!!Graduate or professional degree"
"B20004_012M","Margin of Error!!Total:!!Male:!!Graduate or professional degree"
"B20004_012MA","Annotation of Margin of Error!!Total:!!Male:!!Graduate or professional degree"
"B20004_013E","Estimate!!Total:!!Female:"
"B20004_013EA","Annotation of Estimate!!Total:!!Female:"
"B20004_013M","Margin of Error!!Total:!!Female:"
"B20004_013MA","Annotation of Margin of Error!!Total:!!Female:"
"B20004_014E","Estimate!!Total:!!Female:!!Less than high school graduate"
"B20004_014EA","Annotation of Estimate!!Total:!!Female:!!Less than high school graduate"
"B20004_014M","Margin of Error!!Total:!!Female:!!Less than high school graduate"
"B20004_014MA","Annotation of Margin of Error!!Total:!!Female:!!Less than high school graduate"
"B20004_015E","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)"
"B20004_015EA","Annotation of Estimate!!Total:!!Female:!!High school graduate (includes equivalency)"
"B20004_015M","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)"
"B20004_015MA","Annotation of Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)"
"B20004_016E","Estimate!!Total:!!Female:!!Some college or associate's degree"
"B20004_016EA","Annotation of Estimate!!Total:!!Female:!!Some college or associate's degree"
"B20004_016M","Margin of Error!!Total:!!Female:!!Some college or associate's degree"
"B20004_016MA","Annotation of Margin of Error!!Total:!!Female:!!Some college or associate's degree"
"B20004_017E","Estimate!!Total:!!Female:!!Bachelor's degree"
"B20004_017EA","Annotation of Estimate!!Total:!!Female:!!Bachelor's degree"
"B20004_017M","Margin of Error!!Total:!!Female:!!Bachelor's degree"
"B20004_017MA","Annotation of Margin of Error!!Total:!!Female:!!Bachelor's degree"
"B20004_018E","Estimate!!Total:!!Female:!!Graduate or professional degree"
"B20004_018EA","Annotation of Estimate!!Total:!!Female:!!Graduate or professional degree"
"B20004_018M","Margin of Error!!Total:!!Female:!!Graduate or professional degree"
"B20004_018MA","Annotation of Margin of Error!!Total:!!Female:!!Graduate or professional degree"
